	x
1	Group6
2	Group4
3	Group9
4	Group8
5	Group5
6	Group9
7	Group4
8	Group1
9	Group9
10	Group8
11	Group6
12	Group2
13	Group6
14	Group7
15	Group3
16	Group1
17	Group2
18	Group4
19	Group4
20	Group7
21	Group4
22	Group6
23	Group8
24	Group4
25	Group8
26	Group1
27	Group2
28	Group8
29	Group7
30	Group10
31	Group4
32	Group8
33	Group1
34	Group3
35	Group5
36	Group5
37	Group1
38	Group1
39	Group6
40	Group9
41	Group1
42	Group4
43	Group6
44	Group10
45	Group5
46	Group4
47	Group7
48	Group3
49	Group1
50	Group3
51	Group3
52	Group2
53	Group3
54	Group5
55	Group1
56	Group4
57	Group9
58	Group5
59	Group2
60	Group10
61	Group1
62	Group1
63	Group10
64	Group8
65	Group2
66	Group2
67	Group4
68	Group3
69	Group10
70	Group5
71	Group8
72	Group6
73	Group10
74	Group8
75	Group4
76	Group8
77	Group6
78	Group1
79	Group8
80	Group10
81	Group8
82	Group8
83	Group4
84	Group10
85	Group7
86	Group4
87	Group5
88	Group4
89	Group9
90	Group4
91	Group2
92	Group9
93	Group4
94	Group7
95	Group8
96	Group4
97	Group8
98	Group6
99	Group4
100	Group5
101	Group10
102	Group3
103	Group5
104	Group6
105	Group9
106	Group9
107	Group6
108	Group8
109	Group10
110	Group10
111	Group9
112	Group10
113	Group4
114	Group5
115	Group4
116	Group7
117	Group2
118	Group10
119	Group9
120	Group1
121	Group9
122	Group5
123	Group7
124	Group5
125	Group2
126	Group2
127	Group3
128	Group3
129	Group5
130	Group1
131	Group3
132	Group8
133	Group5
134	Group10
135	Group1
136	Group10
137	Group8
138	Group7
139	Group2
140	Group3
141	Group2
142	Group2
143	Group10
144	Group1
145	Group9
146	Group4
147	Group5
148	Group1
149	Group7
150	Group1
151	Group9
152	Group8
153	Group2
154	Group6
155	Group9
156	Group6
157	Group1
158	Group2
159	Group4
160	Group4
161	Group7
162	Group8
163	Group4
164	Group9
165	Group3
166	Group5
167	Group1
168	Group3
169	Group2
170	Group8
171	Group10
172	Group2
173	Group6
174	Group1
175	Group3
176	Group1
177	Group9
178	Group10
179	Group2
180	Group10
181	Group9
182	Group5
183	Group1
184	Group5
185	Group5
186	Group10
187	Group4
188	Group5
189	Group2
190	Group2
191	Group9
192	Group1
193	Group8
194	Group8
195	Group6
196	Group9
197	Group4
198	Group6
199	Group6
200	Group9
201	Group8
202	Group5
203	Group2
204	Group8
205	Group2
206	Group5
207	Group2
208	Group2
209	Group7
210	Group5
211	Group5
212	Group3
213	Group9
214	Group2
215	Group5
216	Group6
217	Group7
218	Group4
219	Group9
220	Group7
221	Group6
222	Group3
223	Group4
224	Group7
225	Group9
226	Group4
227	Group3
228	Group4
229	Group1
230	Group9
231	Group1
232	Group8
233	Group8
234	Group4
235	Group1
236	Group4
237	Group3
238	Group1
239	Group5
240	Group1
241	Group3
242	Group9
243	Group2
244	Group2
245	Group5
246	Group3
247	Group1
248	Group7
