	x
1	Group12
2	Group6
3	Group2
4	Group4
5	Group13
6	Group7
7	Group6
8	Group8
9	Group10
10	Group4
11	Group5
12	Group14
13	Group5
14	Group11
15	Group15
16	Group9
17	Group14
18	Group6
19	Group6
20	Group12
21	Group6
22	Group5
23	Group4
24	Group6
25	Group4
26	Group3
27	Group14
28	Group4
29	Group12
30	Group2
31	Group6
32	Group4
33	Group8
34	Group15
35	Group5
36	Group13
37	Group8
38	Group8
39	Group5
40	Group10
41	Group9
42	Group6
43	Group12
44	Group1
45	Group13
46	Group6
47	Group12
48	Group15
49	Group8
50	Group15
51	Group15
52	Group14
53	Group15
54	Group13
55	Group3
56	Group6
57	Group7
58	Group13
59	Group14
60	Group1
61	Group8
62	Group3
63	Group2
64	Group4
65	Group14
66	Group14
67	Group6
68	Group15
69	Group9
70	Group13
71	Group4
72	Group12
73	Group2
74	Group7
75	Group6
76	Group4
77	Group12
78	Group9
79	Group7
80	Group1
81	Group4
82	Group7
83	Group6
84	Group2
85	Group11
86	Group6
87	Group5
88	Group6
89	Group7
90	Group6
91	Group14
92	Group7
93	Group6
94	Group11
95	Group4
96	Group6
97	Group4
98	Group12
99	Group6
100	Group13
101	Group1
102	Group15
103	Group13
104	Group5
105	Group7
106	Group10
107	Group12
108	Group4
109	Group2
110	Group2
111	Group7
112	Group1
113	Group6
114	Group13
115	Group6
116	Group11
117	Group14
118	Group9
119	Group10
120	Group8
121	Group7
122	Group13
123	Group11
124	Group13
125	Group14
126	Group14
127	Group15
128	Group15
129	Group5
130	Group3
131	Group15
132	Group4
133	Group13
134	Group2
135	Group8
136	Group2
137	Group4
138	Group11
139	Group14
140	Group15
141	Group14
142	Group14
143	Group1
144	Group3
145	Group10
146	Group6
147	Group13
148	Group9
149	Group11
150	Group9
151	Group7
152	Group7
153	Group14
154	Group5
155	Group7
156	Group12
157	Group3
158	Group14
159	Group6
160	Group6
161	Group11
162	Group4
163	Group6
164	Group10
165	Group15
166	Group13
167	Group3
168	Group15
169	Group14
170	Group4
171	Group1
172	Group14
173	Group12
174	Group8
175	Group15
176	Group9
177	Group7
178	Group2
179	Group14
180	Group1
181	Group10
182	Group5
183	Group8
184	Group13
185	Group13
186	Group2
187	Group6
188	Group5
189	Group14
190	Group14
191	Group10
192	Group8
193	Group4
194	Group4
195	Group12
196	Group10
197	Group6
198	Group5
199	Group12
200	Group10
201	Group4
202	Group13
203	Group14
204	Group4
205	Group14
206	Group13
207	Group14
208	Group14
209	Group12
210	Group13
211	Group13
212	Group15
213	Group7
214	Group14
215	Group13
216	Group12
217	Group11
218	Group6
219	Group7
220	Group11
221	Group5
222	Group15
223	Group6
224	Group11
225	Group7
226	Group6
227	Group15
228	Group6
229	Group9
230	Group2
231	Group9
232	Group4
233	Group4
234	Group6
235	Group9
236	Group6
237	Group15
238	Group8
239	Group5
240	Group8
241	Group15
242	Group10
243	Group14
244	Group14
245	Group13
246	Group15
247	Group8
248	Group12
249	Group7
250	Group7
251	Group11
252	Group1
253	Group14
254	Group2
255	Group4
256	Group3
257	Group14
258	Group11
259	Group2
260	Group9
261	Group3
262	Group12
263	Group11
264	Group11
265	Group14
266	Group4
267	Group14
268	Group4
269	Group14
270	Group2
271	Group10
272	Group12
273	Group7
274	Group8
275	Group7
276	Group13
277	Group9
278	Group11
279	Group14
280	Group4
281	Group9
282	Group14
283	Group3
284	Group12
285	Group10
286	Group6
287	Group14
288	Group4
289	Group11
290	Group14
291	Group6
292	Group15
293	Group7
294	Group5
295	Group10
296	Group7
297	Group15
298	Group14
299	Group13
300	Group8
301	Group11
302	Group13
303	Group6
304	Group7
305	Group11
306	Group15
307	Group4
308	Group7
309	Group13
310	Group15
311	Group4
312	Group10
313	Group10
314	Group12
315	Group6
316	Group12
317	Group10
318	Group3
319	Group8
320	Group5
321	Group4
322	Group2
323	Group7
324	Group15
325	Group14
326	Group14
327	Group15
328	Group11
329	Group8
330	Group15
331	Group11
332	Group13
333	Group13
334	Group13
335	Group2
336	Group5
337	Group13
338	Group6
339	Group10
340	Group8
341	Group15
342	Group6
343	Group4
344	Group6
345	Group13
346	Group7
347	Group2
348	Group14
349	Group5
350	Group6
351	Group7
352	Group8
353	Group10
354	Group11
355	Group2
356	Group1
357	Group15
358	Group8
359	Group2
360	Group6
361	Group15
362	Group5
363	Group13
364	Group5
365	Group11
366	Group6
367	Group5
368	Group11
369	Group3
370	Group6
371	Group11
372	Group9
373	Group3
374	Group15
375	Group2
376	Group1
377	Group5
378	Group13
379	Group15
380	Group8
381	Group5
382	Group13
383	Group6
384	Group6
385	Group15
386	Group4
387	Group6
388	Group9
389	Group9
390	Group15
391	Group1
392	Group14
393	Group7
394	Group2
395	Group14
396	Group11
397	Group14
398	Group6
399	Group12
400	Group15
401	Group6
402	Group1
403	Group5
404	Group5
405	Group1
406	Group9
407	Group14
408	Group15
409	Group12
410	Group14
411	Group2
412	Group4
413	Group12
414	Group5
415	Group15
416	Group1
417	Group10
418	Group3
419	Group15
420	Group12
421	Group7
422	Group6
423	Group2
424	Group4
425	Group4
426	Group11
427	Group6
428	Group6
429	Group10
430	Group12
431	Group13
432	Group5
433	Group13
434	Group1
435	Group11
436	Group11
437	Group14
438	Group9
439	Group9
440	Group9
441	Group15
442	Group13
443	Group14
444	Group9
445	Group2
446	Group14
447	Group15
448	Group7
449	Group13
450	Group7
451	Group12
452	Group9
453	Group11
454	Group5
455	Group11
456	Group2
457	Group11
458	Group13
459	Group8
460	Group10
461	Group14
462	Group13
463	Group9
464	Group10
465	Group13
466	Group2
467	Group5
468	Group14
469	Group2
470	Group14
471	Group6
472	Group2
473	Group13
474	Group1
475	Group6
476	Group15
477	Group15
478	Group5
479	Group9
480	Group2
481	Group15
482	Group5
483	Group12
484	Group5
485	Group2
486	Group4
487	Group10
488	Group13
489	Group6
490	Group14
491	Group2
492	Group11
493	Group6
494	Group13
495	Group11
496	Group14
497	Group12
498	Group5
499	Group4
